Words,Reading,Meaning,Type,S1,S2,S3,W1,W2,W3
掲げる,かかげる,"to put up (a notice, sign, etc.); to hang out (e.g. a banner); to hold up high; to hold up (an ideal); to parade (e.g. a slogan); to publish; to print; to tuck up (e.g. sleeves); to roll up",,,,,,,
捧げる,ささげる,dedicate,,,,,,,
繋げる,つなげる,connect,,,,,,,
広げる,ひろげる,spread out,,,,,,,
案じる,あんじる,plan,,,,,,,
演じる,えんじる,perform,,,,,,,
応じる,おうじる,respond to,,,,,,,
感じる,かんじる,feel,,,,,,,
禁じる,きんじる,forbid,,,,,,,
信じる,しんじる,believe,,,,,,,
通じる,つうじる,pass,,,,,,,
転じる,てんじる,turn,,,,,,,
報じる,ほうじる,report,,,,,,,
命じる,めいじる,order,,,,,,,
論じる,ろんじる,argue,,,,,,,
愛する,あいする,love,,,,,,,
害する,がいする,harm,,,,,,,
関する,かんする,concern,,,,,,,
恋する,こいする,love,,,,,,,
察する,さっする,perceive,,,,,,,
制する,せいする,control,,,,,,,
接する,せっする,come in contact with,,,,,,,
即する,そくする,be immediate,,,,,,,
属する,ぞくする,belong to,,,,,,,
対する,たいする,oppose,,,,,,,
達する,たっする,reach,,,,,,,
脱する,だっする,escape,,,,,,,
適する,てきする,fit,,,,,,,
徹する,てっする,penetrate,,,,,,,
熱する,ねっする,heat,,,,,,,
罰する,ばっする,punish,,,,,,,
反する,はんする,against,,,,,,,
面する,めんする,face,,,,,,,
有する,ゆうする,own,,,,,,,
要する,ようする,require,,,,,,,
演ずる,えんずる,play,,,,,,,
応ずる,おうずる,respond,,,,,,,
感ずる,かんずる,feel,,,,,,,
禁ずる,きんずる,forbid,,,,,,,
信ずる,しんずる,believe,,,,,,,
報ずる,ほうずる,inform,,,,,,,
命ずる,めいずる,command,,,,,,,
論ずる,ろんずる,discuss,,,,,,,
被せる,かぶせる,put on,,,,,,,
任せる,まかせる,leave to others,,,,,,,
隔たる,へだたる,be distant,,,,,,,
慌てる,あわてる,panic,,,,,,,
煽てる,おだてる,incite,,,,,,,
育てる,そだてる,raise,,,,,,,
隔てる,へだてる,separate,,,,,,,
重なる,かさなる,overlap,,,,,,,
異なる,ことなる,differ,,,,,,,
連なる,つらなる,join,,,,,,,
重ねる,かさねる,overlap,,,,,,,
訪ねる,たずねる,visit,,,,,,,
尋ねる,たずねる,ask,,,,,,,
連ねる,つらねる,join,,,,,,,
萎びる,しなびる,diminish,,,,,,,
滅びる,ほろびる,perish,,,,,,,
比べる,くらべる,compare,,,,,,,
調べる,しらべる,examine,,,,,,,
並べる,ならべる,line up,,,,,,,
集まる,あつまる,gather,,,,,,,
埋まる,うずまる,fill up,,,,,,,
収まる,おさまる,fit,,,,,,,
納まる,おさまる,fit,,,,,,,
治まる,おさまる,settle,,,,,,,
固まる,かたまる,harden,,,,,,,
定まる,さだまる,be fixed,,,,,,,
静まる,しずまる,subside,,,,,,,
高まる,たかまる,rise,,,,,,,
縮まる,ちぢまる,shrink,,,,,,,
捕まる,つかまる,be caught,,,,,,,
勤まる,つとまる,be diligent,,,,,,,
強まる,つよまる,strengthen,,,,,,,
留まる,とどまる,stay,,,,,,,
止まる,とどまる,stop,,,,,,,
挟まる,はさまる,get caught,,,,,,,
始まる,はじまる,begin,,,,,,,
広まる,ひろまる,widen,,,,,,,
深まる,ふかまる,deepen,,,,,,,
纏まる,まとまる,coalesce,,,,,,,
弱まる,よわまる,weaken,,,,,,,
集める,あつめる,Gather,,,,,,,
苛める,いじめる,Torment,,,,,,,
痛める,いためる,hurt,,,,,,,
炒める,いためる,fry,,,,,,,
薄める,うすめる,Dilute,,,,,,,
収める,おさめる,Contain,,,,,,,
納める,おさめる,Contain,,,,,,,
治める,おさめる,Fix,,,,,,,
固める,かためる,consolidate,,,,,,,
定める,さだめる,fix,,,,,,,
沈める,しずめる,sink,,,,,,,
進める,すすめる,advance,,,,,,,
勧める,すすめる,advise,,,,,,,
高める,たかめる,increase,,,,,,,
縮める,ちぢめる,reduce,,,,,,,
勤める,つとめる,work,,,,,,,
務める,つとめる,work,,,,,,,
努める,つとめる,strive,,,,,,,
強める,つよめる,strengthen,,,,,,,
咎める,とがめる,reproach,,,,,,,
留める,とどめる,stop,,,,,,,
止める,とどめる,stop,,,,,,,
始める,はじめる,begin,,,,,,,
眺める,ながめる,look at,,,,,,,
広める,ひろめる,broaden,trans.,見聞を広める,その国はどんどん勢力を広めた,彼は学問を広めることに身をささげた,,,
深める,ふかめる,deepen,trans.,知識を深める,今度の旅行でその国に対する理解を深めた,その事件は二人の溝を更に深めた,,,
含める,ふくめる,include,,,,,,,
纏める,まとめる,put together,,,,,,,
丸める,まるめる,round off,,,,,,,
認める,みとめる,acknowledge,,,,,,,
求める,もとめる,ask for,,,,,,,
休める,やすめる,Rest,,,,,,,
緩める,ゆるめる,relax,,,,,,,
弱める,よわめる,weaken,,,,,,,
早める,はやめる,accelerate,,,,,,,
呆れる,あきれる,be dismayed,,,,,,,
暴れる,あばれる,violent,,,,,,,
溢れる,あふれる,overflow,,,,,,,
遅れる,おくれる,Slow down,,,,,,,
恐れる,おそれる,Fear,,,,,,,
溺れる,おぼれる,Drown,,,,,,,
隠れる,かくれる,Hide,,,,,,,
崩れる,くずれる,fall apart,,,,,,,
汚れる,けがれる,get dirty,,,,,,,
拗れる,こじれる,get messy,,,,,,,
零れる,こぼれる,spill,,,,,,,
壊れる,こわれる,break,,,,,,,
痺れる,しびれる,be numb,,,,,,,
優れる,すぐれる,be kind,,,,,,,
廃れる,すたれる,go out of use,,,,,,,
倒れる,たおれる,fall,,,,,,,
縮れる,ちぢれる,shrink,,,,,,,
疲れる,つかれる,get tired,,,,,,,
潰れる,つぶれる,go under,,,,,,,
流れる,ながれる,flow away,,,,,,,
逃れる,のがれる,escape,,,,,,,
外れる,はずれる,get away,,,,,,,
離れる,はなれる,get away,,,,,,,
放れる,はなれる,Let go,,,,,,,
膨れる,ふくれる,swell,,,,,,,
紛れる,まぎれる,be confused,,,,,,,
乱れる,みだれる,be disordered,,,,,,,
凭れる,もたれる,recline,,,,,,,
破れる,やぶれる,be torn,,,,,,,
汚れる,よごれる,get dirty,,,,,,,
別れる,わかれる,break up,,,,,,,
忘れる,わすれる,forget,,,,,,,
教わる,おそわる,be taught,,,,,,,
係わる,かかわる,be involved,,,,,,,
加わる,くわわる,be part of,,,,,,,
備わる,そなわる,"to be furnished with, to be provided with, to be possessed of, to be equipped with, be part of, be one of",,,,,,,
伝わる,つたわる,"to be handed down, to be introduced, to be transmitted, to be circulated, to go along",,,,,,,
交わる,まじわる,"to cross, to intersect, to join, to meet, to associate with, to mingle with",,,,,,,
出会う,であう,"to meet by chance, to come across, to happen to encounter",,,,,,,
出合う,であう,"to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date",,,,,,,
似合う,にあう,"to suit, to match, to become, to be like",,,,,,,
背負う,せおう,"to be burdened with, to carry on back or shoulder",,,,,,,
仕舞う,しまう,"to finish, to close, to do something completely, to put away, to put an end to",,,,,,,
見舞う,みまう,"to ask after (health), to visit",,,,,,,
藻掻く,もがく,"to struggle, to wriggle, to be impatient",,,,,,,
気付く,きづく,"to notice, to recognize, to become aware of",,,,,,,
目指す,めざす,"to aim at, to have an eye on",,,,,,,
目立つ,めだつ,"to be conspicuous, to stand out",,,,,,,
仕切る,しきる,"to partition, to divide, to mark off, to settle accounts, to toe the mark",,,,,,,
出切る,できる,"to be out of, to have no more at hand",,,,,,,
区切る,くぎる,"to punctuate, to cut off, to mark off, to stop, to put an end to ",,,,,,,
湿気る,しける,"to be damp, to be moist",,,,,,,
強請る,ねだる,"te tease, to coax, to solicit, to demand",,,,,,,
怒鳴る,どなる,"to shout, to yell",,,,,,,
真似る,まねる,"to mimic, to imitate",trans.,先生の口調をまねた,手本をまねて練習しなさい,父親の声をまねた,,,
威張る,いばる,"to be proud, to swagger",intrans.,彼は劣等感から威張るのだ,あの男の威張った態度は鼻持ちならない,彼は息子が成功したと威張っている,,,
流行る,はやる,"to flourish, to thrive, to be popular, to come into fashion",,,,,,,
付合う,つきあう,"to associate with, to keep company with, to get on with",,,,,,,
揶揄う,からかう,"to ridicule, to tease, to banter with, to make fun of",,,,,,,
間違う,まちがう,"to make a mistake, to be incorrect, to be mistaken",,,,,,,
手伝う,てつだう,to assist,,,,,,,
振舞う,ふるまう,"to behave, to conduct oneself, to entertain (vt)",,,,,,,
似通う,にかよう,to resemble closely,,,,,,,
支払う,しはらう,to pay,,,,,,,
躊躇う,ためらう,to hesitate,,,,,,,
落着く,おちつく,"to calm down, to settle down",,,,,,,
傷付く,きずつく,"to be hurt, to be wounded, to get injured",,,,,,,
片付く,かたづく,"to put in order, to dispose of, to solve",,,,,,,
近付く,ちかづく,"to approach, to get near, to get acquainted with, to get closer",,,,,,,
長引く,ながびく,"to be prolonged, to drag on",,,,,,,
散蒔く,ばらまく,"to disseminate, yo scatter, to give money freely",,,,,,,
見直す,みなおす,"to look again, to get a better opinion of",,,,,,,
見逃す,みのがす,"to miss, to overlook, to leave at large",,,,,,,
指差す,ゆびさす,to point at,,,,,,,
見渡す,みわたす,"to look out over, to survey (scene), to take an extensive view of ",,,,,,,
引出す,ひきだす,"to pull out, to take out, to draw out, to withdraw",,,,,,,
役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose",,,,,,,
微笑む,ほほえむ,to smile,,,,,,,
裏切る,うらぎる,"to betray, to turn traitor to, to double-cross",,,,,,,
横切る,よこぎる,"to cross (e.g. arms), to traverse",,,,,,,
見送る,みおくる,"(1) to see off, to farewell,(2) to escort,(3) to let pass",,,,,,,
着飾る,きかざる,to dress up,,,,,,,
嵩張る,かさばる,"to be bulky, to be unwieldy, to grow voluminous ",,,,,,,
片寄る,かたよる,"to be one-sided, to incline, to be partial",,,,,,,
近寄る,ちかよる,"to approach, to draw near",,,,,,,
洒落る,しゃれる,"to joke, to play on words, to dress stylishly",,,,,,,
引返す,ひきかえす,"to repeat, to send back, to bring back ",,,,,,,
裏返す,うらがえす,"to turn inside out, to turn (something) over",,,,,,,
心得る,こころえる,"to be informed, to have thorough knowledge",,,,,,,
引受る,ひきうける,"to undertake, to take up, to take over",,,,,,,
物語る,ものがたる,"to tell, to indicate",,,,,,,
逆上る,さかのぼる,"to go back, to go upstream, to make retroactive",,,,,,,
上回る,うわまわる,to exceed,,,,,,,
見落とす,みおとす,"to overlook, to fail to notice",,,,,,,
蹴飛ばす,けとばす,"to kick away, to kick off, to kick (someone), to refuse, to reject",,,,,,,
見下ろす,みおろす,"to overlook, to command a view of, to look down on something",,,,,,,
途絶える,とだえる,"to stop, to cease, to come to an end",,,,,,,
見付かる,みつかる,"to be found, to be discovered",,,,,,,
仕上がる,しあがる,to be finished,,,,,,,
打付ける,ぶつける,"to knock, to run into, to nail on, to strike hard, to hit and attack",,,,,,,
仕掛ける,しかける,"to commence, to lay (mines), to set (traps), to wage (war), to challenge",,,,,,,
付き合う,つきあう,"to associate with, to keep company with, to get on with",,,,,,,
釣り合う,つりあう,"to balance, to be in harmony, to suit ",,,,,,,
間に合う,まにあう,to be in time for,,,,,,,
引っ掻く,ひっかく,to scratch,,,,,,,
追い付く,おいつく,"to overtake, to catchup (with)",,,,,,,
受け継ぐ,うけつぐ,"to inherit, to succeed, to take over",,,,,,,
取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)",,,,,,,
差し引く,さしひく,to deduct,,,,,,,
取り巻く,とりまく,"to surround, to circle, to enclose",trans.,私たちは大勢の子供に取り巻かれた,彼が到着するや新聞記者が取り巻いた,ルビーをダイヤで取り巻いた豪華な指輪,,,
言い出す,いいだす,"to start talking to speak, to tell, to propose, to suggest, to break the ice ",trans.,言い出し渋る,彼女は言い出したら後へ引かない,だれかがそれを言い出しはしないかと心配した,言葉,助言,予言
売り出す,うりだす,"to put on sale, to market, to become popular",trans.,あの会社は建て売り住宅を売り出す予定だ,最近めきめきと売り出した歌手,彼はこの作品で売り出した,売買,商売,発売
愛用する,あいよう,"to use regularly, patronize",suru,"愛 - love, affection, care, to love","用 - use, errand, task, to use",愛用のかばん,one's favorite bag,,
アクセスする,アクセスする,to access (for Internet),suru,,,ホストコンピューターにアクセスする,access the host computer,,
案内する,あんないする,"to guide, lead",suru,"案 - idea, plan, proposal, expectation, to be anxious","内 - inside, among, within",先に立って案内してくれ,"Lead the way, will you?",,
安心する,あんしんする,"to be relieved, feel secure",suru,"安 - cheap, relax, contented","心 - mind, heart, spirit",きっと合格すると安心している,I am confident that you'll pass the examination,,
安定する,あんていする,"to be steady, stable",suru,"安 - cheap, relax, contented","定 - determine, fix, establish, to decide",,,,
アップする,アップする,to upload (for Internet),suru,,,,,,
アレンジする,アレンジする,to arrange,suru,,,,,,
爆発する,ばくはつする,"to explode, burst, blow up",suru,"爆 - bomb, burst open, pop, split","発 - departure, discharge, publish, emit",,,,
弁護する,べんごする,"to defend, testify for",suru,"弁 - valve, petal, braid, speech, dialect","護 - safeguard, protect",,,,
勉強する,べんきょうする,"to study, to give a discount",suru,"勉 - exertion, endeavour, strive",強 - strong,,,,
弁償する,べんしょうする,"to compensate, repay for loss",suru,"弁 - valve, petal, braid, speech, dialect","償 - reparation, make up for, recompense",,,,
防止する,ぼうしする,"to prevent, keep in check",suru,"防 - ward off, defend, protect, resist","止 - stop, halt",,,,
募集する,ぼしゅうする,"to recruit, collect",suru,"募 - recruit, campaign, gather","集 - gather, meet, congregate",,,,
分析する,ぶんせきする,"to analyze, break down",suru,"分 - part, minute of time, segment","析 - chop, divide, tear, analyze",,,,
チャレンジする,チャレンジする,to challenge,suru,,,,,,
