Expression,Reading,Meaning
規模,きぼ,"scale, scope, plan, structure"
気まぐれ,きまぐれ,"whim, caprice, uneven temper"
生真面目,きまじめ,"serious, sincerity"
期末,きまつ,(end of the season or term)
きまりわるい,きまりわるい,"feeling awkward, being ashamed"
記名,きめい,"signature, register"
規約,きやく,"agreement, rules, code"
脚色,きゃくしょく,"dramatization (e.g., film"
逆転,ぎゃくてん,"(sudden) change, reversal, turn-around"
脚本,きゃくほん,scenario
華奢,きゃしゃ,"delicate, slender"
客観,きゃっかん,objective
キャッチ,キャッチ,catch
キャリア,キャリア,"career, career government employee"
救援,きゅうえん,"relief, rescue, reinforcement"
休学,きゅうがく,"temporary absence from school, suspension"
究極,きゅうきょく,"ultimate, final, eventual"
窮屈,きゅうくつ,"narrow, tight, formal"
球根,きゅうこん,(plant) bulb
救済,きゅうさい,"relief, aid, rescue"
給仕,きゅうじ,waiter
給食,きゅうしょく,"school lunch, providing a meal"
休戦,きゅうせん,"truce, armistice"
宮殿,きゅうでん,palace
旧知,きゅうち,"old friend, old friendship"
窮乏,きゅうぼう,poverty
寄与,きよ,"contribution, service"
強,きょう,strong
～狂,～きょう,"maniac, fan, freak"
驚異,きょうい,"wonder, miracle"
教科,きょうか,"subject, curriculum"
協会,きょうかい,"association, society, organization"
共学,きょうがく,coeducation
共感,きょうかん,"sympathy, response"
境遇,きょうぐう,"environment, circumstances"
教訓,きょうくん,"lesson, precept, moral instruction"
強行,きょうこう,"forcing, enforcement"
強硬,きょうこう,"firm, vigorous, stubborn"
教材,きょうざい,teaching materials
凶作,きょうさく,"bad harvest, poor crop"
業者,ぎょうしゃ,"trader, merchant"
教習,きょうしゅう,"training, instruction"
郷愁,きょうしゅう,"nostalgia, homesickness"
教職,きょうしょく,teaching profession
興じる,きょうじる,"to amuse oneself, to make merry"
強制,きょうせい,"obligation, compulsion, enforcement"
行政,ぎょうせい,administration
業績,ぎょうせき,"achievement, work, contribution"
共存,きょうぞん,coexistence
協定,きょうてい,"arrangement, pact, agreement"
郷土,きょうど,homeland
脅迫,きょうはく,"threat, coercion"
業務,ぎょうむ,"business, duties, work"
共鳴,きょうめい,"resonance, sympathy"
郷里,きょうり,"birth-place, home town"
強烈,きょうれつ,"strong, intense, severe"
共和,きょうわ,"republicanism, cooperation"
局限,きょくげん,"limit, localize"
極端,きょくたん,"extreme, extremity"
居住,きょじゅう,residence
拒絶,きょぜつ,"refusal, rejection"
漁船,ぎょせん,fishing boat
漁村,ぎょそん,fishing village
拒否,きょひ,"denial, rejection, refusal"
許容,きょよう,"permission, pardon"
清らか,きよらか,"clean, pure, chaste"
きらびやか,きらびやか,"gorgeous, gaudy, dazzling"
～きり,～きり,only
義理,ぎり,"debt of gratitude, obligation"
切替,きりかえ,"exchange, conversion, switchover"
気流,きりゅう,atmospheric current
切れ目,きれめ,"break, pause, gap"
疑惑,ぎわく,"doubt, misgivings, suspicion"
極めて,きわめて,"exceedingly, extremely (written expression)"
近眼,きんがん,nearsightedness
緊急,きんきゅう,"urgent, pressing, emergency"
近郊,きんこう,"suburbs, outskirts"
均衡,きんこう,"equilibrium, balance"
禁じる,きんじる,to prohibit
勤勉,きんべん,"industry, diligence"
吟味,ぎんみ,"examination, careful investigation"
勤務,きんむ,"service, duty, work"
禁物,きんもつ,"taboo, forbidden thing"
勤労,きんろう,"labor, exertion, diligent service"
クイズ,クイズ,quiz
食い違う,くいちがう,"to cross each other, to differ"
空間,くうかん,"space, room, airspace"
空腹,くうふく,hunger
区画,くかく,"division, section, area"
区間,くかん,section
茎,くき,stalk
区切り,くぎり,"an end, a stop, punctuation"
くぐる,くぐる,to pass through; to go around
くじ (～をひく),くじ (～をひく),"lottery, lot"
くじびき,くじびき,"lottery, drawn lot"
くすぐったい,くすぐったい,ticklish
愚痴,ぐち,"idle complaint, grumble"
口吟む,くちずさむ,to humble
嘴,くちばし,"beak, bill"
朽ちる,くちる,to rot
覆す,くつがえす,"to overturn, to upset, to overthrow"
くっきり,くっきり,"distinctly, clearly, boldly"
屈折,くっせつ,"bending, indentation, refraction"
ぐっと,ぐっと,"firmly, fast, more"
首飾り,くびかざり,necklace
首輪,くびわ,"necklace, choker"
組み込む,くみこむ,"to insert, to include, to cut in (printing)"
組み合わせる,くみあわせる,"to join together, to combine, to join up"
蔵,くら,"warehouse, cellar"
グレー,グレー,"grey, gray"
クレーン,クレーン,crane
玄人,くろうと,"expert, professional"
黒字,くろじ,balance (figure) in the black
軍艦,ぐんかん,"warship, battleship"
軍事,ぐんじ,military affairs
君主,くんしゅ,"ruler, monarch"
群集,ぐんしゅう,"(social) group, crowd, mob"
群衆,ぐんしゅう,"(social) group, crowd, mob"
軍備,ぐんび,"armaments, military preparations"
軍服,ぐんぷく,military or naval uniform
芸,げい,"art, accomplishment, performance"
経過,けいか,"passage, progress"
軽快,けいかい,"lively, casual, light"
警戒,けいかい,"warning, admonition, vigilance"
敬具,けいぐ,Sincerely (used at the end of letter)
軽減,けいげん,"reduction, lessening"
掲載,けいさい,"appearance (e.g., article in paper)"
傾斜,けいしゃ,"inclination, slope, dip"
形成,けいせい,formation
形勢,けいせい,"condition, situation, prospects"
軽率,けいそつ,"thoughtless, careless, hasty"
刑罰,けいばつ,"judgment, penalty, punishment"
経費,けいひ,"expenses, cost, outlay"
警部,けいぶ,police inspector
転換,てんかん,"convert, divert"
転居,てんきょ,"moving, changing residence"
転勤,てんきん,transfer (to another office of a company)
点検,てんけん,"inspection, examination, checking"
電源,でんげん,"source of electricity, power (e.g., button on TV)"
天国,てんごく,"paradise, heaven, Kingdom of Heaven"
天才,てんさい,a genius
天災,てんさい,"natural calamity, disaster"
展示,てんじ,"exhibition, display"
伝説,でんせつ,"tradition, legend, folklore"
点線,てんせん,dotted line
転じる,てんじる,"to turn, to shift"
転ずる,てんずる,"to turn, to shift"
天体,てんたい,heavenly body
伝達,でんたつ,"transmission (e.g., news, communication, delivery)"
天地,てんち,"heaven and earth, the universe"
てんで,てんで,"(not) at all, altogether, entirely"
転任,てんにん,change of post
展望,てんぼう,"view, outlook, prospect"
伝来,でんらい,"ancestral, hereditary, imported"
転落,てんらく,"fall, degradation"
問い合わせる,といあわせる,"to inquire, to seek information"
当～,とう～,"Our ~ (e.g., Hotel, plane, etc.)"
胴,どう,"trunk, body, frame"
同意,どうい,"agreement, consent; same meaning"
動員,どういん,mobilization
同感,どうかん,"agreement, same opinion, same feeling"
陶器,とうき,"pottery, ceramics"
討議,とうぎ,"debate, discussion"
動機,どうき,"motive, incentive"
等級,とうきゅう,"grade, class"
同級,どうきゅう,"the same grade, same class"
同居,どうきょ,living together
登校,とうこう,attendance (at school)
統合,とうごう,"integration, unification, synthesis"
動向,どうこう,"trend, tendency, movement, attitude"
投資,とうし,investment
同情,どうじょう,"sympathy, compassion, sympathize"
道場,どうじょう,"(arch) dojo, hall used for martial arts training, mandala"
統制,とうせい,"regulation, control"
当選,とうせん,"being elected, winning the prize"
逃走,とうそう,"flight, desertion, escape"
統率,とうそつ,"command, generalship, leadership"
到達,とうたつ,"reaching, attaining, arrival"
統治,とうち,"rule, reign, governing"
仕切る,しきる,"to partition, to divide, to mark off"
資金,しきん,"funds, capital"
軸,じく,"axis, stem, shaft"
しくじる,しくじる,"to fail, to fall through, to blunder"
仕組,しくみ,"structure, mechanism"
死刑,しけい,death penalty
湿気る,しける,"to be damp, to be moist"
施行,しこう,"enforcement, operation"
思考,しこう,thought
志向,しこう,"intention, aim"
嗜好,しこう,"taste, liking, preference"
事項,じこう,"matter(s), item(s), facts"
時刻表,じこくひょう,"timetable, (train) schedule"
地獄,じごく,hell
時差,じさ,time difference
自在,じざい,"freely, at will"
視察,しさつ,"inspection, observation"
資産,しさん,"property, fortune, assets"
支持,しじ,support
自主,じしゅ,"independence, autonomy"
自首,じしゅ,"surrender, give oneself up"
刺繍,ししゅう,embroidery
市場,しじょう,(the) market (as a concept)
辞職,じしょく,resignation
雫,しずく,drop (of water)
システム,システム,system
沈める,しずめる,"to sink, to submerge"
施設,しせつ,"establishment, facility"
事前,じぜん,"prior, beforehand, in advance"
子息,しそく,(hon.) son
持続,じぞく,"continuation, endurance"
自尊心,じそんしん,"self-respect, conceit"
慕う,したう,to yearn to adore
下心,したごころ,"secret intention, motive"
下地,したじ,"groundwork, foundation"
親しむ,したしむ,"to be intimate with, to befriend"
下調べ,したしらべ,preliminary investigation
愛想,あいそう,sociability
間柄,あいだがら,relationship
合間,あいま,interval
敢えて,あえて,"dare (to do), venture (to do), challenge (to do)"
仰ぐ,あおぐ,"to look up (to), to respect; to ask for"
垢,あか,"dirt, filth"
赤字,あかじ,"deficit, go in the red"
明かす,あかす,to reveal; to stay up
赤らむ,あからむ,"to become red, to blush"
上がり,あがり,"ascent; income; completion, stop"
諦め,あきらめ,"resignation, reconciliation, consolation"
アクセル,アクセル,(abbr.) accelerator
あくどい,あくどい,gaudy vicious
顎,あご,chin
憧れ,あこがれ,"yearning, longing, aspiration"
麻,あさ,hemp
あざ,あざ,"birthmark, bruise"
浅ましい,あさましい,"shameful, mean, despicable"
欺く,あざむく,to deceive
鮮やか,あざやか,"vivid, clear"
嘲笑う,あざわらう,"to sneer at, to ridicule"
悪しからず,あしからず,"don't take me wrong, but..., I'm sorry"
味わい,あじわい,"flavor, relish"
焦る,あせる,"to be in a hurry, to be impatient"
あせる,あせる,"to fade, to discolor"
値,あたい,"value, price, worth"
値する,あたいする,"to be worth, to deserve"
悪化,あっか,"deterioration, worsen"
扱い,あつかい,"treatment, service"
呆気ない,あっけない,"not enough, too quick (short, long, etc.)"
あっさり,あっさり,"easily, readily, quickly"
斡旋,あっせん,"kind offices, mediation"
圧倒,あっとう,"overwhelm, overpower"
圧迫,あっぱく,"pressure, coercion, oppression"
あつらえる,あつらえる,"to give an order, to place an order"
