Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
何であるんだよ？,What's it for?,じゃ、またやろうよ！まったりお鍋キャンプ,Then let's do it again! Let's have a relaxed hot pot camp!,危ない道は通っちゃダメよ,Don't take the dangerous road.,チェックアウトは明日のお昼,Check out tomorrow at noon.,うちの子お願いします,"My son, please.",ええ、この季節に珍しいね,"Yeah, that's unusual for this time of year.",テスト終わったら皆でクリスマスキャンプやりませんか！,"After the test, why don't we all have a Christmas camp!",じゃあね,Bye.,しまリン,Shimmerin.,ありがとう、しまさん,"Thank you, Shima-san.",昨日、こいつを契約してきた,I signed up for this yesterday.
それっぽいのがそこの落し物箱にあったよ,I found something like it in the lost and found over there.,そんで気が向いたらみんなでキャンプしようよ,"And when you're ready, let's camp together.",わかってるって,I know.,水は後で持っていくからね,I'll bring you water later.,はい,Okay.,付いた,I got you.,クリスマスキャンプやて,Christmas camp?,どうぞお気をつけて,Take care of yourself.,それは遠慮しとく,I'll pass.,隊長持ち帰って家宝にいたしやす,I'll take it home and keep it as a family heirloom.,月額1280円で動画10000タイトル見放題だ,"For 1280 yen a month, you can watch 1000 titles of movies."
リン、これ持ってて助けてあげなよ,"Lin, you should take this and help her.",わかったよ,"Okay, okay.",じゃ、いってくるね,"Okay, I'm off.",作務衣だ,A samue.,娘さんお借りします,I'll take your daughter.,本当だ、付いた,I got it. I got it.,ナイス提案だな,That's a nice suggestion.,そうだ、これを持っていってください,"Oh, and take this with you.",やっぱ振られた,I got dumped.,このあと燃やすんだよ,We'll burn it afterwards.,これで眠くなるまで動画鑑賞しようぜー,Let's watch movies until we fall asleep.
うわ、すげー嫌そうじゃ、私がいってくんね,You look like you don't want to do that. I'll go.,って言っても道具とかたくさん揃えなきゃいけないんだけどね,But we'd have to get a lot of equipment and stuff.,まったく、誰に似たのかしら,Who does he think he is?,渋い,I'm a little reluctant,お姉ちゃん、準備完了しました,"I'm ready, big sister.",ありがとうございます,Thank you. Thank you.,私はクリスマス彼氏と過ごすから無理やな,I can't. I'm spending Christmas with my boyfriend.,夜はかなり冷えますので,It gets quite cold at night.,頑固なソロキャンガールだぜやっぱ振られた,I'm a stubborn solo-camping girl.,重っ,Heavy.,いいね、あきちゃんナイス！,"Good idea, Aki-chan!"
お節介焼きめ,You meddler!,って食い終わっちゃってるよ,We've already eaten.,二人とも、遅れてごめん,"Sorry we're late, you two.",寒くないのかな,I hope it's not too cold.,はいはい,Okay.,どうも。じゃ、これで。キャンプ楽しんでね,Thank you. Here you go. Enjoy your camping trip.,彼氏いたのか、貴様,"You have a boyfriend, dude?",ほうじ茶は体を温める効果があるそうです,I hear hojicha is good for warming you up.,頑固なソロキャンガールだぜ,I'm a stubborn solo-can girl,いいや,No problem.,何見る？,What do you want to watch?
あいつ、まさか同じ学校だったとは。,I didn't know he went to school with you.,ポテチあるけど食べる？,Do you want some potato chips?,おぉ、来た来た,"Oh, here we are.",にしても、管理人さんのリビングスペース、ええなぁ,I love the janitor's living space.,いってらっしゃい、気を付けてね,Have a good day. Be careful.,できる男だ,You're the man.,嘘やで,You're lying.,ありがとうございます,Thank you very much.,そっか頑固なソロキャンガールだぜ,"Yeah, I'm a stubborn solo-can girl",運んでもらうばかりか金まで出してもらって,"Not only did you carry it, you paid for it.",アニメ,Anime
見つかったらめんどくさそうだから気をつけよう,"I'll be careful, it'll be a pain in the ass if he finds me.",まだ食うか,Do you still want some?,1本、電車乗り遅れちゃって,We missed the train.,すごいよな,It's amazing.,うん,Okay.,必殺火起こし人だね,A fire starter extraordinaire.,いつも家族とクリスマスやけど,I always spend Christmas with my family.,行き当たりばったりも旅の楽しみ方か,I guess randomness is the best way to travel.,そっか,I see.,涙がちょちょぎれるってなあ,I'm all teary-eyed.,お笑い,Comedy
完全に吊り橋効果の類だ,It's the perfect suspension bridge effect.,夜の富士山やっぱりいいねぇ！,Mt. Fuji at night is really nice!,ええよ、ええよ、まったり行こうか,"Yeah, yeah, yeah. Let's take it easy.",こういうとこで余生を過ごしたいぜ,I want to spend the rest of my life in a place like this.,それじゃ、出発,Let's go.,それじゃ,"Okay, bye.",皆でキャンプするのもかもな,Maybe we could all go camping together.,それじゃ、仕切り直して,Let's get back on track.,みんなでキャンプできたらって思ってたんだけどそっか,I was hoping we could all go camping together.,あれ、しまリン、1束忘れてるぞ,"Hey, Shimmerin, you forgot a bundle.",洋画,Western movies
九百八十円テントなんとか完成,I managed to complete a 980 yen tent.,このあたりは明け方よく霧が出るから,It often gets foggy around here at dawn.,時間はたっぷりあるしな,We'll have plenty of time.,余生よりまず、進路決めなあかん時期やわ,It's time to decide what to do with the rest of my life.,ね、りんちゃん、食材はどこで買ってく？,"Hey, Rin, where are we going to buy food?",さすが肉焼くか,Let's cook some meat.,家族いたのか、貴様,"You got a family, you?",いざ、長野,Let's go to Nagano!,みんなでキャンプできたらって思ってたんだけど,I was hoping we could all go camping together.,重すぎるからそれは大垣が持ってきて,"It's too heavy, Ogaki'll get it.",ホラーがいいな,I like horror movies.
980円だけどちゃんとテントしてるよ,"It's only 980 yen, but it's still a tent.",早朝は朝日で幻想的な富士山が見られるらしいよ,I heard that you can see a fantastic Mt. Fuji in the early morning with the sunrise.,さて、三人とも冬シュラフを手に入れたし、テントももう一個買い足した,"Well, the three of us got our winter sleeping bags, and we bought another tent.",ねぇ、あきちゃん、どこでテント立てるの？,"Hey, Akichan, where are we going to set up the tent?",この先にゼブラってスーパーがあるよ,There's a supermarket down the road called Zebra.,うん、焼こう,"Yeah, let's cook it.",何じゃ、ワレ,"What the fuck, man?",リンちゃん間違えて、通行止めの道に行っちゃったのか,"Lin, did you take the wrong road?",ちょっと残念みんなでキャンプできたらって思ってたんだけど,I was hoping we could all go camping together,たくさん買ってきたね,You bought a lot.,嘘やで,You're lying.
材質はそれなりだけどな,"The material is not that great, though.",まあ霧がよく出るのは春夏だけどね,"Well, it's spring and summer when the fog comes out most often.",じゃ、野クル初のキャンプ地、イーストウッドキャンプ場へ出発！,"So we're off to Eastwood Campground, our first camping spot in the wild!",おお、こっちこっち、いい所予約てあるぜぇ,"Oh, this way, this way. I've reserved a nice spot.",じゃ、そこにしよう,Let's go there then.,ていうか、さっきなんで中学生って嘘ついたんだ？,Why did you lie about being in junior high school?,そうだ,Yeah.,そうだ！,That's right!,ちょっと残念,I'm a little disappointed.,それサイトまで運ぶから手伝ってくれない？,Can you help me carry it to the site?,あおいちゃん！,Aoi!
斉藤さん、ありがとうな。助かったわ。,"Thank you, Saito-san. Thank you for your help.",霧の富士山か、見てみたいな,"Fuji in the fog, I'd like to see it!",おー！,Ooh!,ここここ,"Here, here.",それ、どこにあるの？,Where is it?,若く見られて、嬉しかったんじゃよ,I was just happy to look younger.,さいとさんもキャンプどう？,"How about camping, Satou-san?",リンちゃん、今どこ？,"Rin, where are you?",今度は斎藤か,Saito this time.,オーキードーキー,Okie dokie.,私そろそろ寝るわ,I'm going to bed.
